@RELATION face

@ATTRIBUTE mouthwidth NUMERIC
@ATTRIBUTE mouthheight NUMERIC
@ATTRIBUTE uppermouthcurve NUMERIC
@ATTRIBUTE lowermouthcurve NUMERIC
@ATTRIBUTE lea NUMERIC
@ATTRIBUTE rea NUMERIC
@ATTRIBUTE eeor NUMERIC
@ATTRIBUTE eeir NUMERIC
@ATTRIBUTE eeol NUMERIC
@ATTRIBUTE eeil NUMERIC
@ATTRIBUTE class {cl, glasses, happy, ll, noglasses, normal, rl, sad, sleepy, surprised, wink}

@DATA
1.21621622, 0.40540541, 0.00790514, -0.02173913, 2.57415270, 3.14159265, 0.41957229, 0.29729730, 0.31634324, 0.42044187, cl
1.20948476, 0.32433617, -0.00370028, -0.02537431, 2.89661399, 2.67794504, 0.54332359, 0.30769231, 0.30769231, 0.36980013, cl
1.00000000, 0.27027027, 0.00000000, -0.02941176, 2.62333701, 2.74012161, 0.42303989, 0.38696814, 0.38696814, 0.41166341, cl
1.00366675, 0.42857143, 0.01811391, -0.03090570, 2.57415270, 3.14159265, 0.41600628, 0.41600628, 0.52683111, 0.41600628, cl
1.33944677, 0.44117647, 0.01628430, -0.01408007, 2.65163533, 2.66232132, 0.64572054, 0.44117647, 0.57107317, 0.54709045, cl
1.23155783, 0.42857143, 0.01172902, -0.02087968, 2.81984210, 3.12596892, 0.68690373, 0.54285714, 0.57142857, 0.51110125, cl
1.36143881, 0.34375000, 0.00125843, -0.02255109, 2.71940599, 2.46685171, 0.44743191, 0.44743191, 0.44743191, 0.44743191, cl
0.81818182, 0.27272727, 0.01250000, -0.02500000, 2.65163533, 2.69921843, 0.53008654, 0.45454545, 0.45454545, 0.48956044, cl
1.37315533, 0.50000000, 0.01470417, -0.02118100, 2.67349404, 2.62038787, 0.50990195, 0.51747249, 0.50000000, 0.64031242, cl
0.98257025, 0.39833929, 0.01169591, -0.03216374, 2.48629655, 2.66232132, 0.51288063, 0.38022338, 0.38022338, 0.49396927, cl
1.24832303, 0.45454545, 0.01470417, -0.02118100, 2.70496549, 2.93409643, 0.27103854, 0.27103854, 0.38330638, 0.62471297, cl
0.99780246, 0.26503566, 0.01155556, -0.01244444, 2.89661399, 2.62244654, 0.36425668, 0.36425668, 0.44172610, 0.39509184, cl
1.11665285, 0.25000000, -0.00500000, -0.02750000, 2.95624470, 2.91479381, 0.39771725, 0.52777778, 0.44444444, 0.39283710, cl
1.17770383, 0.39256794, 0.00790514, -0.02173913, 2.87534060, 2.78759522, 0.57457548, 0.60193751, 0.57576631, 0.52992633, cl
1.03270125, 0.29729730, 0.00554017, -0.02493075, 2.88099026, 2.62038787, 0.45945946, 0.40540541, 0.40540541, 0.50273176, cl
1.11111111, 0.44444444, 0.02000000, -0.02000000, 2.89661399, 2.89661399, 0.29528183, 0.43122707, 0.22395160, 0.34359214, glasses
1.11111111, 0.44444444, 0.02000000, -0.02000000, 2.89661399, 2.89661399, 0.29528183, 0.43122707, 0.22395160, 0.34359214, glasses
1.07301904, 0.39256794, 0.01913876, -0.01674641, 2.70496549, 2.62038787, 0.35596675, 0.28788316, 0.40628622, 0.35596675, glasses
1.00552490, 0.31578947, 0.00554017, -0.02770083, 2.94419709, 2.26386516, 0.23537558, 0.39473684, 0.40853091, 0.33287133, glasses
0.99450545, 0.39256794, 0.01939058, -0.02216066, 2.62038787, 3.14159265, 0.48681239, 0.40628622, 0.28788316, 0.34123065, glasses
1.27027027, 0.37837838, 0.01282051, -0.01282051, 2.15200951, 2.49387216, 0.52197859, 0.40540541, 0.51351351, 0.35238932, glasses
1.10168889, 0.40305691, 0.00956938, -0.02631579, 3.14159265, 2.88099026, 0.40305691, 0.41714173, 0.49546681, 0.51895480, glasses
1.30104585, 0.30450009, 0.00732601, -0.01282051, 2.88099026, 2.60908856, 0.51042766, 0.51042766, 0.41522740, 0.43062816, glasses
0.90781534, 0.27787011, 0.00539811, -0.02618084, 2.89661399, 2.57486344, 0.38189593, 0.46311684, 0.46311684, 0.39296767, glasses
1.31738183, 0.32131343, 0.01080369, -0.01093544, 2.62038787, 2.93409643, 0.51013617, 0.49657530, 0.36131160, 0.26126497, glasses
1.22995879, 0.43815468, 0.01291272, -0.02141223, 2.88099026, 2.88099026, 0.48351670, 0.55499593, 0.55499593, 0.61964429, glasses
1.21160764, 0.44991349, 0.01470417, -0.02188120, 2.67794504, 2.88099026, 0.50000000, 0.33534571, 0.37203267, 0.40860129, glasses
1.00498756, 0.40000000, 0.02500000, -0.01500000, 2.66552332, 2.91050199, 0.63294945, 0.53443896, 0.42500000, 0.46970736, glasses
1.23529412, 0.41176471, 0.00000000, -0.03174603, 2.64462405, 2.70066841, 0.38348249, 0.52941176, 0.50000000, 0.59554285, glasses
0.99420705, 0.37618645, 0.00877193, -0.03216374, 2.78759522, 2.97644398, 0.51895480, 0.41103901, 0.41714173, 0.45679783, glasses
0.99705449, 0.28122050, 0.01052632, -0.01842105, 2.63601160, 2.71126604, 0.45732956, 0.51130999, 0.32338083, 0.43386092, glasses
1.28238861, 0.39256794, 0.00000000, -0.02525253, 2.94419709, 2.94419709, 0.42603621, 0.28788316, 0.28788316, 0.35596675, happy
1.15153263, 0.28788316, 0.00000000, -0.02272727, 2.62038787, 2.53221926, 0.35596675, 0.28788316, 0.28788316, 0.35596675, happy
1.17478972, 0.24390244, -0.00868056, -0.02604167, 2.93049932, 2.48278662, 0.33174318, 0.31707317, 0.32540644, 0.25464162, happy
1.12231752, 0.28057938, 0.00000000, -0.02272727, 2.88099026, 2.88099026, 0.46546302, 0.37139068, 0.47032983, 0.39925109, happy
1.20000000, 0.54285714, 0.00915332, -0.03432494, 2.55923971, 2.61234587, 0.38861344, 0.31428571, 0.44354785, 0.44354785, happy
1.19444444, 0.41666667, 0.00000000, -0.03246753, 2.88099026, 2.87534060, 0.32513055, 0.50000000, 0.52777778, 0.45980404, happy
1.22514349, 0.43750000, -0.02474976, -0.06218292, 2.73310376, 2.88099026, 0.51727954, 0.34375000, 0.48513046, 0.36577187, happy
1.11026437, 0.39473684, 0.00414079, -0.03018416, 2.98499078, 3.14159265, 0.45958551, 0.51096021, 0.50000000, 0.65947179, happy
1.30673148, 0.29632485, -0.00036422, -0.01959499, 2.79282165, 2.62038787, 0.44591355, 0.40407934, 0.49672366, 0.43437224, happy
1.43313557, 0.45714286, -0.00307692, -0.02871795, 2.47044882, 2.68911776, 0.54883922, 0.44354785, 0.55475680, 0.48571429, happy
1.10000000, 0.30000000, 0.00833333, -0.01666667, 2.68911776, 2.89661399, 0.26575365, 0.37500000, 0.27500000, 0.40697051, happy
1.30311673, 0.48463711, 0.00255754, -0.02694556, 2.81984210, 2.68999265, 0.51585153, 0.51014433, 0.32264360, 0.28858121, happy
1.47222222, 0.38888889, -0.00428571, -0.02428571, 2.91050199, 2.51452199, 0.51068823, 0.47222222, 0.43479100, 0.58333333, happy
1.20000000, 0.40000000, 0.00680272, -0.02494331, 2.76535064, 2.59602917, 0.44721360, 0.55180594, 0.55180594, 0.52683111, happy
1.18199400, 0.26446587, -0.00354925, -0.02194389, 2.54784299, 2.67349404, 0.33400703, 0.37323767, 0.28140851, 0.28140851, happy
1.00000000, 0.28947368, 0.00831025, -0.02216066, 2.88099026, 2.53221926, 0.36559063, 0.31578947, 0.42105263, 0.44659376, ll
1.22726234, 0.44444444, 0.01287879, -0.02045455, 2.55923971, 2.55923971, 0.32513055, 0.32513055, 0.41666667, 0.37781863, ll
1.17520887, 0.38087318, 0.00375000, -0.02875000, 2.47297909, 2.63904253, 0.29297937, 0.31554844, 0.42658440, 0.34166972, ll
1.08901643, 0.38888889, 0.01363451, -0.02340252, 2.79282165, 2.58499334, 0.39771725, 0.47951879, 0.50000000, 0.39771725, ll
0.90104450, 0.39801488, 0.01805556, -0.03194444, 2.81984210, 2.35619449, 0.35876576, 0.31465839, 0.39801488, 0.35876576, ll
1.10431526, 0.44172610, 0.02000000, -0.02000000, 2.89661399, 2.89661399, 0.56309251, 0.45532085, 0.44172610, 0.59469197, ll
1.23822580, 0.34375000, -0.00854701, -0.03764754, 2.76535064, 2.49387216, 0.38145486, 0.43750000, 0.45500687, 0.48913987, ll
0.99735876, 0.19368700, 0.00464576, -0.01440186, 2.89661399, 2.59811506, 0.44445259, 0.30624604, 0.39929598, 0.53098594, ll
1.20691854, 0.32227730, 0.01231182, -0.01400397, 2.39103294, 2.88099026, 0.39849502, 0.43946905, 0.43946905, 0.45576893, ll
1.34977916, 0.52763934, 0.01329410, -0.02610229, 2.68359470, 2.41734265, 0.46140722, 0.51188535, 0.52763934, 0.67791601, ll
1.18887968, 0.39473684, 0.00979359, -0.01985068, 2.62038787, 2.26802588, 0.43560383, 0.30801842, 0.28947368, 0.30004616, ll
1.45454545, 0.45454545, 0.01223776, -0.01398601, 2.79282165, 2.44413910, 0.53953012, 0.66666667, 0.66666667, 0.44121878, ll
1.20691854, 0.41017111, 0.00464576, -0.02868757, 2.29025250, 2.56479406, 0.39088323, 0.39088323, 0.39088323, 0.45858525, ll
1.10526316, 0.28947368, 0.00915332, -0.01601831, 2.88099026, 2.67349404, 0.53285412, 0.50000000, 0.50000000, 0.54251390, ll
0.99672905, 0.29632485, 0.00000000, -0.03216374, 2.66232132, 2.62038787, 0.35123667, 0.41819989, 0.29632485, 0.41906662, ll
1.18918919, 0.40540541, 0.01652893, -0.01446281, 2.79282165, 2.93409643, 0.21789886, 0.31634324, 0.29729730, 0.21789886, noglasses
1.20588235, 0.32352941, 0.00966184, -0.01690821, 2.30286432, 2.74680153, 0.42418250, 0.35294118, 0.34425588, 0.48685133, noglasses
0.95524866, 0.35000000, 0.00619195, -0.03302374, 2.86329299, 2.63904253, 0.35794553, 0.35000000, 0.35794553, 0.30516389, noglasses
1.11111111, 0.38888889, 0.01767677, -0.01767677, 2.86329299, 2.73310376, 0.51219691, 0.51219691, 0.50000000, 0.43479100, noglasses
1.00000000, 0.39473684, 0.01939058, -0.02216066, 2.74307021, 3.14159265, 0.44736842, 0.39473684, 0.40853091, 0.63267449, noglasses
1.21393831, 0.40305691, 0.00386473, -0.02577953, 2.88099026, 2.50444932, 0.51686363, 0.41103901, 0.49546681, 0.43327316, noglasses
1.42942969, 0.31008684, 0.00260870, -0.01643892, 2.86329299, 2.63220233, 0.48536267, 0.43412157, 0.31008684, 0.48536267, noglasses
0.92803556, 0.27500000, 0.00426743, -0.02789632, 2.66232132, 3.14159265, 0.45620719, 0.46097722, 0.41382363, 0.38810437, noglasses
1.10431526, 0.30368670, 0.01010101, -0.01767677, 2.49387216, 2.47044882, 0.35996274, 0.40197682, 0.41411822, 0.35996274, noglasses
1.22683310, 0.43815468, 0.00915332, -0.02517162, 2.63601160, 2.88099026, 0.44683185, 0.56716167, 0.56716167, 0.56716167, noglasses
1.29055376, 0.32131343, 0.01239669, -0.01033058, 2.67349404, 2.88099026, 0.42127711, 0.34189793, 0.32131343, 0.54334321, noglasses
1.09681030, 0.38260825, 0.01739130, -0.01521739, 2.79282165, 2.81984210, 0.42067579, 0.51014433, 0.51014433, 0.44546438, noglasses
1.13333333, 0.33333333, 0.01384083, -0.02076125, 2.96692045, 2.93049932, 0.44472214, 0.35901099, 0.48534066, 0.47726070, noglasses
1.21474679, 0.30368670, 0.00826446, -0.01446281, 3.14159265, 2.60555269, 0.43213170, 0.54381220, 0.53319676, 0.50379656, noglasses
1.10256410, 0.30769231, 0.00869565, -0.01739130, 2.67349404, 2.63601160, 0.34875565, 0.28205128, 0.39805576, 0.47695065, noglasses
1.10741679, 0.41411822, 0.01351010, -0.02436869, 2.93409643, 2.79282165, 0.32314197, 0.30368670, 0.42858958, 0.42947785, normal
1.20588235, 0.32352941, 0.00966184, -0.01690821, 2.30286432, 2.74680153, 0.42418250, 0.35294118, 0.34425588, 0.48685133, normal
0.95524866, 0.35000000, 0.00619195, -0.03302374, 2.86329299, 2.63904253, 0.35794553, 0.35000000, 0.35794553, 0.30516389, normal
1.22857143, 0.40000000, 0.01515152, -0.01515152, 2.51452199, 2.73310376, 0.44354785, 0.44354785, 0.40908060, 0.40000000, normal
1.09919024, 0.39256794, 0.01830664, -0.01601831, 2.51279637, 2.61234587, 0.53953303, 0.30632600, 0.60193751, 0.40034232, normal
1.21393831, 0.40305691, 0.00386473, -0.02577953, 2.88099026, 2.50444932, 0.51686363, 0.41103901, 0.49546681, 0.43327316, normal
1.42942969, 0.31008684, 0.00260870, -0.01643892, 2.86329299, 2.63220233, 0.48536267, 0.43412157, 0.31008684, 0.48536267, normal
0.90781534, 0.27787011, 0.00539811, -0.02618084, 2.89661399, 2.57486344, 0.38189593, 0.46311684, 0.46311684, 0.39296767, normal
1.10431526, 0.30368670, 0.01010101, -0.01767677, 2.49387216, 2.47044882, 0.35996274, 0.40197682, 0.41411822, 0.35996274, normal
1.10999185, 0.43815468, 0.02216066, -0.01939058, 2.58532542, 2.63601160, 0.56716167, 0.56716167, 0.45346598, 0.45346598, normal
1.20588235, 0.41176471, 0.01674641, -0.01674641, 2.88099026, 2.60269060, 0.45753968, 0.34425588, 0.32352941, 0.38348249, normal
1.09681030, 0.38260825, 0.01739130, -0.01521739, 2.79282165, 2.81984210, 0.42067579, 0.51014433, 0.51014433, 0.44546438, normal
1.20000000, 0.31428571, 0.00907029, -0.01587302, 2.75582712, 2.58499334, 0.49321933, 0.49897855, 0.51428571, 0.49156144, normal
1.21474679, 0.30368670, 0.00826446, -0.01446281, 3.14159265, 2.60555269, 0.43213170, 0.54381220, 0.53319676, 0.50379656, normal
1.21185480, 0.29557507, 0.00289855, -0.01884058, 2.66232132, 2.66232132, 0.35034794, 0.41103901, 0.41714173, 0.44478527, normal
1.19960127, 0.38888889, 0.01092319, -0.01937984, 2.77904842, 3.14159265, 0.43212081, 0.32513055, 0.32513055, 0.36217791, rl
1.30578580, 0.31225313, 0.00000000, -0.02079395, 2.62038787, 2.81984210, 0.33225719, 0.44067928, 0.31225313, 0.44159261, rl
1.10743627, 0.35020210, 0.00365854, -0.02729384, 2.56479406, 3.14159265, 0.38570238, 0.46503273, 0.35940606, 0.35020210, rl
1.00280856, 0.35000000, 0.01397243, -0.02111529, 2.48629655, 2.51452199, 0.45000000, 0.36400549, 0.36400549, 0.34003676, rl
1.13022001, 0.39256794, 0.01366789, -0.01922685, 2.89661399, 2.41734265, 0.50273226, 0.49725273, 0.40628622, 0.35596675, rl
1.33795495, 0.33333333, 0.00347222, -0.01736111, 2.57486344, 3.14159265, 0.78567420, 0.56655772, 0.56655772, 0.59835165, rl
1.21053361, 0.41047309, 0.00326087, -0.03425926, 2.51610761, 2.61831433, 0.49496555, 0.39232157, 0.39232157, 0.43209154, rl
0.90961097, 0.28154625, 0.00000000, -0.02947846, 2.91050199, 3.14159265, 0.38315859, 0.38377018, 0.38377018, 0.39816653, rl
1.19762279, 0.35052374, 0.00966184, -0.01932367, 2.62038787, 2.16167800, 0.31050987, 0.32131343, 0.45346598, 0.48351670, rl
1.19762279, 0.43815468, 0.00966184, -0.02657005, 2.67349404, 2.79282165, 0.49657530, 0.55499593, 0.56716167, 0.60218601, rl
1.23387559, 0.36140316, 0.00465116, -0.02243982, 2.51610761, 2.76108628, 0.48487322, 0.36140316, 0.45714286, 0.41206300, rl
1.18511366, 0.30812955, 0.00800000, -0.01280000, 2.57486344, 2.58875143, 0.51056259, 0.47404546, 0.37923637, 0.39090790, rl
1.08823529, 0.41176471, 0.01176471, -0.02941176, 2.96692045, 2.84309372, 0.50000000, 0.39240188, 0.50000000, 0.50601913, rl
0.99503719, 0.39801488, 0.02000000, -0.02000000, 2.89661399, 2.57486344, 0.53584393, 0.49751860, 0.59702231, 0.53584393, rl
1.11026437, 0.28947368, 0.00501253, -0.02015909, 2.39103294, 2.88099026, 0.51096021, 0.40853091, 0.39473684, 0.43560383, rl
1.01398077, 0.43815468, 0.02776058, -0.02487100, 2.68911776, 2.58532542, 0.38085587, 0.32131343, 0.33304880, 0.47550943, sad
1.32874788, 0.32352941, 0.00996926, -0.01176987, 2.54784299, 2.62038787, 0.45753968, 0.32352941, 0.33534571, 0.33275613, sad
1.17142857, 0.40000000, 0.00952381, -0.02380952, 2.85013586, 3.14159265, 0.44721360, 0.40000000, 0.40000000, 0.33442000, sad
1.22857143, 0.40000000, 0.01515152, -0.01515152, 2.51452199, 2.73310376, 0.44354785, 0.44354785, 0.40908060, 0.40000000, sad
1.10526316, 0.39473684, 0.01830664, -0.01601831, 2.51279637, 2.55923971, 0.51096021, 0.39473684, 0.39473684, 0.20041508, sad
1.15823842, 0.40305691, 0.01182926, -0.02063828, 2.88099026, 2.74680153, 0.31451068, 0.41714173, 0.51686363, 0.41714173, sad
1.24852855, 0.38235294, 0.00137494, -0.03048780, 2.75582712, 2.80230004, 0.61413568, 0.42111238, 0.32352941, 0.38348249, sad
1.00000000, 0.31622777, 0.00000000, -0.03125000, 2.81984210, 2.89661399, 0.57500000, 0.51538820, 0.37500000, 0.42500000, sad
1.31250000, 0.34375000, 0.01814059, -0.00680272, 2.93049932, 2.87534060, 0.42504595, 0.45500687, 0.45500687, 0.55639043, sad
1.20330886, 0.40894437, 0.01266643, -0.02114999, 2.57415270, 2.93409643, 0.55499593, 0.49657530, 0.56187157, 0.44683185, sad
1.27266046, 0.27607882, 0.00310559, -0.01594203, 2.87534060, 3.14159265, 0.19325517, 0.27607882, 0.27607882, 0.15617376, sad
1.20641314, 0.30608660, 0.01964883, -0.00342809, 2.29298766, 2.61234587, 0.29855431, 0.39597848, 0.39597848, 0.48997763, sad
1.31840715, 0.41017111, -0.00800000, -0.03600000, 3.14159265, 3.14159265, 0.64853748, 0.52736286, 0.50576080, 0.42658440, sad
1.21474679, 0.40197682, 0.00619835, -0.02350427, 2.94419709, 2.65579677, 0.50379656, 0.54381220, 0.50379656, 0.42858958, sad
1.01235377, 0.27422981, 0.00972222, -0.01805556, 2.88099026, 2.51030261, 0.39021595, 0.29179797, 0.37394974, 0.38781952, sad
1.20277841, 0.39473684, 0.00808081, -0.02156346, 3.14159265, 2.94419709, 0.23537558, 0.40853091, 0.28947368, 0.34311592, sleepy
1.12774509, 0.33333333, 0.01770191, -0.01446183, 2.62038787, 2.62038787, 0.47431745, 0.33333333, 0.47042954, 0.49329759, sleepy
1.00267340, 0.31707317, 0.00365854, -0.02729384, 2.56202867, 3.14159265, 0.41463415, 0.42104089, 0.42595730, 0.38176770, sleepy
1.19527676, 0.39741307, 0.01247166, -0.01927438, 2.76952489, 2.71940599, 0.51095966, 0.54823723, 0.51800771, 0.44432132, sleepy
1.07894737, 0.40853091, 0.01913876, -0.01794872, 2.26781770, 2.62038787, 0.53285412, 0.50000000, 0.50000000, 0.44736842, sleepy
1.22505984, 0.38888889, 0.01136364, -0.01756198, 2.86329299, 2.86329299, 0.57265356, 0.42491829, 0.51219691, 0.40445055, sleepy
1.31840715, 0.41017111, 0.00000000, -0.02777778, 2.63220233, 2.84309372, 0.52163493, 0.29297937, 0.38087318, 0.49892588, sleepy
0.89856388, 0.28057938, 0.00714286, -0.02904135, 2.81984210, 2.95624470, 0.69621152, 0.54944226, 0.51014433, 0.32264360, sleepy
1.36666331, 0.45454545, 0.01080369, -0.01884058, 2.62038787, 2.60269060, 0.46354723, 0.46354723, 0.44121878, 0.48862168, sleepy
1.38771906, 0.49561395, 0.01830664, -0.01601831, 2.81984210, 2.69921843, 0.64153882, 0.64153882, 0.64153882, 0.64153882, sleepy
1.34955143, 0.43750000, 0.01937984, -0.01092319, 3.06068855, 2.88099026, 0.25194555, 0.45500687, 0.57622153, 0.36577187, sleepy
1.19818344, 0.39801488, 0.01041667, -0.01736111, 2.57486344, 2.43296638, 0.41026434, 0.62931678, 0.59702231, 0.62931678, sleepy
1.18683919, 0.26315789, 0.00277778, -0.01706349, 2.91050199, 2.58499334, 0.48380990, 0.44736842, 0.45428096, 0.68319763, sleepy
0.99420705, 0.29557507, 0.02339181, -0.00877193, 2.48054948, 2.77070136, 0.60084177, 0.41714173, 0.51053875, 0.49546681, sleepy
1.10526316, 0.28947368, 0.00000000, -0.02517162, 2.50048388, 2.63601160, 0.52631579, 0.43401112, 0.33287133, 0.45958551, sleepy
1.09919024, 0.49725273, 0.01830664, -0.02517162, 2.63601160, 2.62038787, 0.40628622, 0.40628622, 0.32371982, 0.44413993, surprised
1.11111111, 0.33333333, 0.01000000, -0.02000000, 2.57486344, 2.57486344, 0.55555556, 0.56655772, 0.56655772, 0.59835165, surprised
0.90000000, 0.45000000, 0.01234568, -0.04320988, 2.57486344, 2.23054416, 0.32596012, 0.45000000, 0.55509008, 0.41382363, surprised
0.92040940, 0.44776674, 0.02046784, -0.03216374, 2.50884382, 2.67794504, 0.47264267, 0.48300319, 0.54727045, 0.33834922, surprised
1.00524594, 0.48717949, 0.02381916, -0.02618084, 2.40665666, 2.55923971, 0.39805576, 0.28205128, 0.39805576, 0.52860329, surprised
